company_name,website,city,reason_excluded,evidence,source_url,verification_date
PrideStaff Phoenix Metro,https://www.pridestaff.com,Phoenix/Scottsdale,STAFFING_FIRM,"Staffing/temp agency for light industrial, clerical, and IT placements.",https://www.pridestaff.com/locations/phoenixmetroscottsdale/,2026-09-22
Vaco,https://www.vaco.com,Phoenix,STAFFING_FIRM,"Staffing/consulting placement firm across accounting, finance, IT and technology roles.",https://www.vaco.com/about/locations/phoenix/,2026-09-22
Next Step Systems,https://www.nextstepsystems.com,Phoenix/Scottsdale,STAFFING_FIRM,IT staffing and recruiting firm for contractor/direct-hire IT placements.,https://www.nextstepsystems.com/phoenix-arizona-it-recruiters/,2026-09-22
Parallel Partners,https://www.parallelpartners.com,Phoenix,STAFFING_FIRM,IT recruitment firm placing technologists in direct-hire and contractor roles since 1995.,https://www.parallelpartners.com/phoenix-arizona-it-recruiters/,2026-09-22
Frontline Source Group,https://www.frontlinesourcegroup.com,Phoenix/Scottsdale,STAFFING_FIRM,General staffing agency with dedicated IT staffing division.,https://www.frontlinesourcegroup.com/phoenix-information-technology-staffing-agency.html,2026-09-22
TEKsystems,https://www.teksystems.com,Phoenix,STAFFING_FIRM,National IT staffing/contractor placement firm with Phoenix branch.,general search listing (Arizona IT staffing firms),2026-09-22
Insight Global,https://insightglobal.com,Phoenix,STAFFING_FIRM,National IT/professional staffing and placement firm with Phoenix branch.,general search listing (Arizona IT staffing firms),2026-09-22
Aerotek,https://www.aerotek.com,Phoenix,STAFFING_FIRM,National staffing/recruiting firm with Phoenix branch.,general search listing (Arizona IT staffing firms),2026-09-22
Blue Signal Search,https://bluesignal.com,Scottsdale,RECRUITING_FIRM,Executive search/recruiting firm.,general search listing (Arizona IT staffing firms),2026-09-22
SalesFirst Recruiting,,Scottsdale,RECRUITING_FIRM,"Recruiting agency, primary business is candidate placement.",general search listing (Arizona IT staffing firms),2026-09-22
Renaissance Personnel Group,,Phoenix,STAFFING_FIRM,Staffing/personnel placement agency.,general search listing (Arizona IT staffing firms),2026-09-22
AppleOne Employment Services,https://www.appleone.com,Phoenix,STAFFING_FIRM,National employment/staffing services agency.,general search listing (Arizona IT staffing firms),2026-09-22
General Dynamics Mission Systems,https://gdmissionsystems.com,Scottsdale,ITAR_COMPANY_WIDE,"Entire division builds classified/defense mission systems; majority of engineering roles require DoD Secret/TS-SCI clearance and involve ITAR-controlled technology company-wide, not an isolated req.",https://www.clearancejobs.com/jobs/general-dynamics-mission-systems-2/scottsdale-az,2026-09-22
Edgio (formerly Limelight Networks),,Tempe,INVALID_BUSINESS,"Company became defunct/ceased operations as of January 15, 2025; no longer an active employer to contact.",https://en.wikipedia.org/wiki/Edgio,2026-09-22
Emerald AI,https://www.emeraldai.co,Unclear,NOT_ARIZONA,"One AZ business-press article referenced a Phoenix product debut, but the company's own careers page lists only Bay Area, Boston, and Washington D.C. offices with no confirmed Arizona office.",https://www.emeraldai.co/careers,2026-09-22
Culdesac,https://www.culdesac.com,Tempe (project only),NOT_ARIZONA,"Company HQ and engineering team are based in San Francisco; Culdesac Tempe is a real-estate development/property project, not a corporate engineering office, and no AZ-based software jobs were found.",https://en.wikipedia.org/wiki/Culdesac_Tempe,2026-09-22
Nuro,https://www.nuro.ai,Formerly Phoenix (wound down),NOT_ARIZONA,Nuro wound down its Phoenix-area commercial operations and shifted strategy to the Bay Area and Houston; no current Arizona engineering presence confirmed.,https://techcrunch.com/2022/07/14/autonomous-vehicles-startup-nuro-winds-down-operations-in-phoenix/amp/,2026-09-22
