company_name,check_performed,result,source_url,timestamp
ALL (batch),"Web search sweep across AZ cities/verticals (40+ queries: builtin.com, wellfound, tracxn, seedtable, failory, gregslist, crunchbase, YC, Skysong, Tech Launch Arizona, AZ Tech Council, city economic-development pages)","Compiled candidate list of 100+ named AZ companies across software, AI/ML, robotics, fintech, healthtech, edtech, proptech, cybersecurity, aerospace/space",see companies.csv source_urls column per row,2026-09-22
ALL (batch),Attempted direct WebFetch verification of company/aggregator websites,"Network egress proxy blocked most domains tested (builtin.com, gregslist.com, seedtable.com, failory.com, inven.ai, webpt.com, botco.ai); verification relied on WebSearch result snippets/summaries with cited source URLs instead","n/a - environment limitation, noted in report",2026-09-22
GoDaddy,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://en.wikipedia.org/wiki/GoDaddy,2026-09-22
Carvana,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://en.wikipedia.org/wiki/Carvana,2026-09-22
Insight Enterprises,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://en.wikipedia.org/wiki/Insight_Enterprises,2026-09-22
Blue Yonder,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://en.wikipedia.org/wiki/Blue_Yonder,2026-09-22
Nextiva,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://en.wikipedia.org/wiki/Nextiva,2026-09-22
SmartRent,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.zoominfo.com/c/smartrent-technologies-inc/416272162,2026-09-22
Verra Mobility,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.facebook.com/VerraMobility/,2026-09-22
Offerpad,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://chamberbusinessnews.com/2019/05/10/real-estate-tech-company-offerpad-celebrates-opening-of-new-chandler-headquarters/,2026-09-22
WebPT,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.webpt.com/about/press/webpt-unveils-renovated-and-expanded-headquarters-in-downtown-phoenix,2026-09-22
Nikola Corporation,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.zoominfo.com/c/nikola-corp/414840200,2026-09-22
TSMC Arizona,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://ro.careers.tsmc.com/job/Phoenix-Fullstack-Software-Engineer-AZ-85083/1210813601/,2026-09-22
Waymo (Mesa Integration Facility),Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://insideautonomousvehicles.com/waymo-rampus-up-u-s-manufacturing-with-new-arizona-integration-facility/,2026-09-22
Paradox,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://azbigmedia.com/business/10-arizona-startups-to-watch-heading-into-2026/,2026-09-22
Botco.ai,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://botco.ai/careers/,2026-09-22
Trainual,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://trainual.com/engineers,2026-09-22
OneOrigin,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.oneorigin.us/company/careers,2026-09-22
RadiusAI,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.uplers.com/company/radius-ai-6350,2026-09-22
Katalyst Space Technologies,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.katalystspace.com/careers,2026-09-22
Qwick,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://jobs.phxfwd.org/companies/trainual,2026-09-22
Parchment,Confirmed AZ HQ/office + business description via web search,AZ presence and tech relevance confirmed,https://www.parchment.com/company/careers/,2026-09-22
Nikola Corporation,Checked for financial-distress / operating-status red flags,Company has faced significant financial distress/restructuring; flagged P3 and noted caution in row,https://www.zoominfo.com/c/nikola-corp/414840200,2026-09-22
General Dynamics Mission Systems,Checked for ITAR/clearance language,Majority of engineering postings require DoD Secret/TS-SCI clearance; treated as company-wide restriction and excluded,https://www.clearancejobs.com/jobs/general-dynamics-mission-systems-2/scottsdale-az,2026-09-22
Katalyst Space Technologies,Checked for ITAR/clearance language,"No explicit company-wide ITAR/clearance statement found; space/defense-adjacent work makes status uncertain, marked UNCLEAR rather than assumed clear",https://www.katalystspace.com/careers,2026-09-22
Phantom Space,Checked for ITAR/clearance language,"No explicit company-wide ITAR/clearance statement found; space/defense-adjacent work makes status uncertain, marked UNCLEAR rather than assumed clear",general search listing (Arizona space companies),2026-09-22
KinetX Aerospace,Checked for ITAR/clearance language,"No explicit company-wide ITAR/clearance statement found; space/defense-adjacent work makes status uncertain, marked UNCLEAR rather than assumed clear",general search listing (Arizona aerospace companies),2026-09-22
Edgio (formerly Limelight Networks),Checked current operating status,Company confirmed defunct as of Jan 2025; excluded,https://en.wikipedia.org/wiki/Edgio,2026-09-22
Emerald AI,Checked for genuine Arizona office/engineering presence,No confirmed current AZ engineering office; excluded as NOT_ARIZONA,https://www.emeraldai.co/careers,2026-09-22
Culdesac,Checked for genuine Arizona office/engineering presence,No confirmed current AZ engineering office; excluded as NOT_ARIZONA,https://en.wikipedia.org/wiki/Culdesac_Tempe,2026-09-22
Nuro,Checked for genuine Arizona office/engineering presence,No confirmed current AZ engineering office; excluded as NOT_ARIZONA,https://techcrunch.com/2022/07/14/autonomous-vehicles-startup-nuro-winds-down-operations-in-phoenix/amp/,2026-09-22
Binsr,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Certemy,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Handwrytten,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
SupplyHound,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Dovly,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Sciata,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
SenesTech,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Machine Solutions,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
World View Enterprises,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
FreeFall Aerospace,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Pinnacle Aerospace,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
The Robot Factory,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Levels AI (Levels Tech),Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
360 SOC,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Silent Sector,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Blue K Smart Systems,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Redrock Software Corporation,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Eightfold Technology,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Exos,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
FitMyFoot,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Hadrian,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Virga Labs,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
TucsonBizz,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Artha Solutions,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Paradigm Technology,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
Picmonic,Verified via aggregate search-result listing only (no primary-site or careers-page fetch possible due to proxy restrictions),"Existence and AZ association found in listing/press snippet; confidence marked LOW/MEDIUM, flagged for direct re-verification before outreach",see companies.csv source_urls column,2026-09-22
